id,vin_number,model,production_year
452,9W55ED9AZMV8MJPU2,Lexus RX,2021
453,49Y609K5Y6WLAJA4H,Mercedes-Benz C-Class,2013
454,BWGXGV87Y2PJST8VP,Honda Civic,2019
455,TZVG23F096JRAS4ER,Subaru Forester,2021
456,WW65B6SUCSM4LMYDX,Audi A4,2014
457,9X9DL2R3PUXD3D1UH,Subaru Forester,2011
458,4HS5KVTDGB35UMKAC,Honda CR-V,2020
459,AUNR0C49LL09W9YL7,Jeep Grand Cherokee,2024
460,0V8V62DCTARDNDC0P,Jeep Grand Cherokee,2017
461,Z7YWTTNNUM7BWUPBA,Volkswagen Tiguan,2010
462,UJ65651T6Y6VZ2JTD,Volkswagen Tiguan,2015
463,X7NWTS0PEZJHGKTF0,Ford F-150,2013
464,PLMAUFSCS3U8RBSLA,Hyundai Elantra,2011
465,Z7SGALD551U0915R1,Chevrolet Silverado,2015
466,NBFEKCFRG3H59167W,Ford F-150,2013
467,GB54YPDS6Y1T4Y4DT,Lexus RX,2018
468,K0B27MNX0AG7C11Z9,Tesla Model 3,2022
469,L8E58HHXC5NJWYUZS,Toyota Camry,2011
470,HS6KADYUVUHL6RUCN,Subaru Forester,2018
471,2ZGTJNS17BLUBNF4D,Nissan Altima,2016
472,L70L0MDWLE4RJDD6H,Subaru Forester,2020
473,TULLCC3YY2HT77VAL,Honda CR-V,2010
474,J10WJ8S22M14X6TKH,Toyota Camry,2022
475,LY3SKWY7P61E3086L,Toyota RAV4,2016
476,5CP03G273K4GMRHA8,Lexus RX,2018
477,9TV7FXYHLXE5GJ5NF,Tesla Model 3,2024
478,4Y3D0DWRCY6MDZLKW,Ford Explorer,2024
479,EPRVZCSC4HUAK69W6,Subaru Forester,2018
480,BH1XVNG75NUD9SZUZ,Volkswagen Tiguan,2012
481,63RUCJCSBHYU63F7E,Mazda CX-5,2023
482,F46HESSS6EHYDADNJ,Ford Explorer,2022
483,6BZXKFAL4ABMW90XU,Nissan Altima,2022
484,A0NX0YFX721JEZA96,Honda Civic,2011
485,NGYGPW0NKMX7H19TE,Toyota Camry,2011
486,FUPD5CR6HVBGNMSTH,Audi A4,2021
487,M7UWNJ70Y9W9JAKYJ,Honda Civic,2015
488,DJ73YK0UN03G8NJZ9,Jeep Grand Cherokee,2017
489,U5JE2XNFRUS6GKKBU,Toyota Camry,2015
490,CG8TCKK5KWBRU68VL,Chevrolet Equinox,2014
491,UWTTW11T58KFZP8J3,Chevrolet Equinox,2022
492,0WW353H6M6JXM37Z3,Jeep Grand Cherokee,2011
493,Y8E9KK0YC740976FD,Kia Sportage,2010
494,S37KSXBFGV7U91B9F,Toyota RAV4,2022
495,XJJ6YPHSR6WTU91JW,Jeep Grand Cherokee,2023
496,K2V2N8WWH0ANZZDNR,Hyundai Elantra,2010
497,NMW8HKS4XRXBZG8LN,Nissan Altima,2017
498,1AE66YXLEF6BRT43G,Jeep Grand Cherokee,2012
499,P1BL6VR8CCGYVJECA,Tesla Model 3,2016
500,16D280PT4MBYCDXZN,Toyota RAV4,2014
